agency_id,agency_name,agency_url,agency_timezone,agency_phone
33,Consorzio Autolinee TPL s.r.l.,http://www.consorzioautolineetpl.it,Europe/Rome,0984/35706
34,Servizi Automobilistici Jonici (S.A.J.) S.R.L.,http://www.saj.it,Europe/Rome,0981/500331
8,Mediterraneabus S.P.A.,http://www.mediterraneabus.com,Europe/Rome,0965/639009
9,Autolinee Federico S.P.A.,http://www.autolineefederico.it,Europe/Rome,0965/1714071
10,Autolinee Tripodi Cavalier Domenico S.R.L.,https://www.autolineetripodi.info,Europe/Rome,0965/46100
11,Costa Viola Bus S.R.L.,http://www.costaviolabus.com,Europe/Rome,0965/751586
12,Lirosi Autoservizi S.R.L.,http://www.lirosiautoserviziorari.com,Europe/Rome,0966/57552
13,S.C.A.R. S.R.L.,http://calabria.coretpl.it,Europe/Rome,0965/1714071
7,Francesco Perrone S.R.L.,http://www.perronebus.it,Europe/Rome,0984/525100
27,Parise Rocco e Antonio & A. s.r.l.,http://calabria.coretpl.it,Europe/Rome,0984/24940
28,Autoservizi Carnevale s.r.l.,http://calabria.coretpl.it,Europe/Rome,0984/522365
29,Genco Carmela & Figli S.R.L.,http://www.gencobus.it,Europe/Rome,0963/41741
30,T.N.C. - Trasporti Nord Calabria S.R.L.,http://calabria.coretpl.it,Europe/Rome,0981/63450
35,Societa'Â Autolinee Tirreniche,http://www.sat-autolinee.it,Europe/Rome,0984/72035
32,A.T.A.M - Azienda Trasporti per l'Area Metropolitana S.p.A.,http://www.atam.rc.it,Europe/Rome,0965/620121/2
19,Azienda Per La Mobilita' Della Citta' Di Catanzaro A.M.C.,http://www.amcspa.it,Europe/Rome,0961/781467
21,Nicola Brosio & F.lli s.r.l.,http://www.brosiotour.it,Europe/Rome,0963/592431
22,Ferrovie Della Calabria S.R.L.,http://www.ferroviedellacalabria.it,Europe/Rome,0961/896111
24,G.B.V. S.R.L.,http://calabria.coretpl.it,Europe/Rome,0963/84310
25,Ferloc S.R.L.,http://www.ferloc.com,Europe/Rome,0984/38567
26,Lamezia Multiservizi S.P.A.,http://www.lameziamultiservizi.it,Europe/Rome,0968/441812
14,Autoservizi Preite S.R.L,http://www.autoservizipreite.com,Europe/Rome,0984/413001-2
15,Bilotta Antonio S.R.L.,http://www.bilottaautolinee.it,Europe/Rome,0968/21527
16,Impresa Autolinee Scura I.A.S.,http://www.iasautolinee.com,Europe/Rome,0983/565635
17,Eredi Zanfini Salvatore,http://www.zanfinitours.it,Europe/Rome,0984/950162
18,Romano Autolinee Regionali s.p.a.,http://www.autolineeromano.com,Europe/Rome,0962/21709